dataset,item_id,model,mae,rmse,smape,mase,error
chronos_m4_hourly,3:target,deepar,,,,,Trainer was configured with `enable_checkpointing=False` but found `ModelCheckpoint` in callbacks list.
chronos_m4_hourly,4:target,chronos:amazon/chronos-t5-tiny,225.2100372314453,256.55767822265625,0.08015810698270798,1.1232752799987793,
chronos_m4_hourly,4:target,seasonal_naive,252.6666717529297,371.32965087890625,0.07669556140899658,1.2602201700210571,
chronos_m4_hourly,4:target,arma,551.0945434570312,649.0177612304688,0.24807368218898773,2.7486822605133057,
chronos_m4_hourly,4:target,prophet,239.01246643066406,264.6012268066406,0.08903678506612778,1.1921173334121704,
chronos_m4_hourly,4:target,deepar,,,,,Trainer was configured with `enable_checkpointing=False` but found `ModelCheckpoint` in callbacks list.
chronos_m4_hourly,5:target,chronos:amazon/chronos-t5-tiny,188.75694274902344,238.88497924804688,0.028529753908514977,0.8867001533508301,
chronos_m4_hourly,5:target,seasonal_naive,207.9791717529297,270.4535827636719,0.03215497359633446,0.9769980311393738,
chronos_m4_hourly,5:target,arma,573.91162109375,640.92431640625,0.09158718585968018,2.695993661880493,
chronos_m4_hourly,5:target,prophet,211.25811767578125,252.52572631835938,0.03230595588684082,0.992401123046875,
chronos_m4_hourly,5:target,deepar,,,,,Trainer was configured with `enable_checkpointing=False` but found `ModelCheckpoint` in callbacks list.
chronos_m4_hourly,6:target,chronos:amazon/chronos-t5-tiny,1065.8509521484375,1435.5374755859375,0.024756571277976036,0.5472391247749329,
chronos_m4_hourly,6:target,seasonal_naive,926.5208129882812,1131.163330078125,0.022425733506679535,0.4757029116153717,
chronos_m4_hourly,6:target,arma,5822.14013671875,6968.1630859375,0.1498863697052002,2.989257335662842,
chronos_m4_hourly,6:target,prophet,2107.72021484375,2698.120361328125,0.04739229381084442,1.082165241241455,
chronos_m4_hourly,6:target,deepar,,,,,Trainer was configured with `enable_checkpointing=False` but found `ModelCheckpoint` in callbacks list.
chronos_m4_hourly,7:target,chronos:amazon/chronos-t5-tiny,1114.3436279296875,1470.890869140625,0.03341398760676384,0.6861534118652344,
chronos_m4_hourly,7:target,seasonal_naive,1440.9583740234375,1605.4241943359375,0.04515993222594261,0.8872653841972351,
chronos_m4_hourly,7:target,arma,3701.135986328125,4477.84033203125,0.12040678411722183,2.2789623737335205,
chronos_m4_hourly,7:target,prophet,1223.0062255859375,1563.208984375,0.03792128339409828,0.7530620694160461,
chronos_m4_hourly,7:target,deepar,,,,,Trainer was configured with `enable_checkpointing=False` but found `ModelCheckpoint` in callbacks list.
chronos_m4_hourly,8:target,chronos:amazon/chronos-t5-tiny,1353.6676025390625,1412.5322265625,0.038679081946611404,0.7313215732574463,
chronos_m4_hourly,8:target,seasonal_naive,1454.125,1595.675048828125,0.04170535132288933,0.7855938673019409,
chronos_m4_hourly,8:target,arma,4804.5869140625,5543.94140625,0.14277388155460358,2.5956876277923584,
chronos_m4_hourly,8:target,prophet,3195.924072265625,3329.68359375,0.0905211940407753,1.7266042232513428,
chronos_m4_hourly,8:target,deepar,,,,,Trainer was configured with `enable_checkpointing=False` but found `ModelCheckpoint` in callbacks list.
chronos_m4_hourly,9:target,chronos:amazon/chronos-t5-tiny,9.794791221618652,12.145209312438965,0.021428043022751808,0.9304776191711426,
chronos_m4_hourly,9:target,seasonal_naive,11.916666984558105,13.854902267456055,0.026568179950118065,1.132049798965454,
chronos_m4_hourly,9:target,arma,28.673452377319336,32.45818328857422,0.06428239494562149,2.7238972187042236,
