source_run,dataset,model,mae,rmse,smape,mase,rain_occurrence_error,positive_mae,wql,wql_macro,wql_median,successful_runs,failed_runs,diagnostic_model,evaluated_tasks,successful_tasks,failed_tasks,total_duration_seconds
heavier_chronos,official_bls_macro,chronos_t5_large,369.58952690944784,389.00716882731234,0.0160750802938959,0.2817864722221412,,,0.0041507648222899,0.011677300718918,0.0077003411766547,21,0,False,7,7,0,10.734032499996829
heavier_chronos,official_bls_macro,chronos_t5_base,401.4500579156336,423.8508486570347,0.0155552837532013,0.2740949072842724,,,0.0046649226960626,0.0117260195232366,0.008343870821649,21,0,False,7,7,0,6.099561379000079
heavier_chronos,official_elexon_demand,chronos_t5_large,25175.16015625,30731.994574652777,0.0472533673875861,0.5810172387284133,,,0.0361973716641553,0.0362216822735279,0.0354561124773708,9,0,False,3,3,0,153.69013036700562
heavier_chronos,official_elexon_demand,chronos_t5_base,26336.75716145833,32173.574652777777,0.0492687974539068,0.6083020727761108,,,0.038280871529831,0.0383231324858419,0.037026487379679,9,0,False,3,3,0,10.77388384599908
heavier_chronos,official_elexon_demand,chronos_t5_small,27269.739800347223,33176.75824652778,0.0512653026315901,0.6283474139720818,,,0.0393645464403675,0.0393746541221414,0.0401089393191673,9,0,False,3,3,0,6.160788240009424
heavier_chronos,official_elexon_demand,chronos_t5_mini,27482.829210069445,34049.331380208336,0.0519178923633363,0.6329106879855896,,,0.0397119812042128,0.0396896543884111,0.0392580708539536,9,0,False,3,3,0,5.228757227992901
heavier_chronos,official_usgs_streamflow,chronos_t5_large,1620.9837427383814,2412.8047824761807,0.3264598065557388,1.103921345683682,,,0.2681502849438157,0.3015257001290943,0.2119086326023178,39,0,False,13,13,0,748.9783835750059
heavier_chronos,official_usgs_streamflow,chronos_t5_base,1638.8387771019568,2433.3640573941743,0.3326919730275105,1.1105852472172928,,,0.2755950466725394,0.3148042225006885,0.2197473215890069,39,0,False,13,13,0,53.08844864300045
heavier_chronos,official_usgs_streamflow,chronos_t5_mini,1671.7129213382036,2476.38085047404,0.3413576781749725,1.130449702793073,,,0.2832204505933457,0.3236212472530367,0.2217462194430079,39,0,False,13,13,0,28.946663316015474
heavier_chronos,official_usgs_streamflow,chronos_t5_small,1696.0647335541555,2476.553309513972,0.3503731203575929,1.1293607689737404,,,0.2783229030158438,0.3224139374657249,0.2151162217066299,39,0,False,13,13,0,32.08386836099089
external_keyless,external_national_illness,timesfm_2_5_200m,109396.62630208331,136067.23307291666,0.0897395610809326,1.3260699760556278,,,0.0688380752186663,0.0710572492581117,0.0376543384510538,3,0,False,3,3,0,5.163080266998804
external_keyless,external_national_illness,prophet,144523.40147569444,202429.08072916663,0.118688232368893,1.7370427030514757,,,0.0929818464283147,0.0969226240469351,0.0887501276208694,9,0,False,3,3,0,0.921958345999883
external_keyless,external_national_illness,deepar,176420.75868055556,225950.72829861112,0.144136880007055,2.056691281690245,,,0.1132798983316678,0.1164165106591428,0.1163001167247885,9,0,False,3,3,0,77.27153905800515
external_keyless,external_national_illness,seasonal_naive,220093.4270833333,264942.4947916667,0.1821963613231977,2.582989820181824,,,0.1620985535631738,0.1660037952544675,0.1647161289771455,3,0,False,3,3,0,0.0044946420002816
external_keyless,external_national_illness,arima_2_1_2,225769.7903645833,282637.8528645833,0.1953721903264522,2.6399215741110087,,,0.1457976911598718,0.1523634836209994,0.1521784561301533,3,0,False,3,3,0,0.5827657369991357
external_keyless,external_national_illness,chronos_t5_tiny,231896.0008680556,290357.7352430556,0.2045041355821821,2.681797359132084,,,0.150255287580899,0.1566323498233278,0.1467591258585125,9,0,False,3,3,0,14.386210211001526
